id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x479e279d3db93b0f:0x785293caa63b8f6,Villa Portofino Landshut,84028,,4.5,32,Restaurant,48.5405545,12.1500559,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Villa+Portofino+Landshut/data=!4m7!3m6!1s0x479e279d3db93b0f:0x785293caa63b8f6!8m2!3d48.5405545!4d12.1500559!16s%2Fg%2F11y0j_0qc7!19sChIJDzu5PZ0nnkcR9rhjqjwphQc?authuser=0&hl=de&rclk=1,2026-05-13T20:07:26Z,active,success,
0x479e2739b22b6917:0xcc30f5b2496fa4b0,"VinaFood Restaurant, Vietnamesische Küche & Sushi",84028,,4,94,Sushi,48.5430914,12.1485564,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,"https://www.google.com/maps/place/VinaFood+Restaurant,+Vietnamesische+K%C3%BCche+%26+Sushi/data=!4m7!3m6!1s0x479e2739b22b6917:0xcc30f5b2496fa4b0!8m2!3d48.5430914!4d12.1485564!16s%2Fg%2F11j6zz8nry!19sChIJF2krsjknnkcRsKRvSbL1MMw?authuser=0&hl=de&rclk=1",2026-05-13T20:15:19Z,active,success,
0x479e26722d4d9d57:0xd691fc3ac0646881,WEINroom Vinothek - Bar & Bistro,84028,,4.6,34,Lebensmittel,48.5337961,12.1498497,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/WEINroom+Vinothek+-+Bar+%26+Bistro/data=!4m7!3m6!1s0x479e26722d4d9d57:0xd691fc3ac0646881!8m2!3d48.5337961!4d12.1498497!16s%2Fg%2F11b7gl6_5c!19sChIJV51NLXImnkcRgWhkwDr8kdY?authuser=0&hl=de&rclk=1,2026-05-13T20:09:58Z,active,success,
0x479e270035383521:0xd8575f65fb78fbb2,Wassana's Thai Imbiss,84028,,4.3,16,Asiatisch,48.5369764,12.1556213,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Wassana%27s+Thai+Imbiss/data=!4m7!3m6!1s0x479e270035383521:0xd8575f65fb78fbb2!8m2!3d48.5369764!4d12.1556213!16s%2Fg%2F11y6gn90hq!19sChIJITU4NQAnnkcRsvt4-2VfV9g?authuser=0&hl=de&rclk=1,2026-05-13T20:14:14Z,active,success,
0x479e277de63dc6f5:0xccff9b294c9ef1ee,Weinstube Isarklause,84028,,4.5,94,Restaurant,48.5367016,12.1506722,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Weinstube+Isarklause/data=!4m7!3m6!1s0x479e277de63dc6f5:0xccff9b294c9ef1ee!8m2!3d48.5367016!4d12.1506722!16s%2Fg%2F11kqtlzkhj!19sChIJ9cY95n0nnkcR7vGeTCmb_8w?authuser=0&hl=de&rclk=1,2026-05-13T20:11:27Z,active,success,
0x479e26736e314fcb:0x82161c88a2668147,Weißes Bräuhaus Zum Krenkl,84028,,3.1,473,Restaurant,48.5376822,12.1518873,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Wei%C3%9Fes+Br%C3%A4uhaus+Zum+Krenkl/data=!4m7!3m6!1s0x479e26736e314fcb:0x82161c88a2668147!8m2!3d48.5376822!4d12.1518873!16s%2Fg%2F1tf80l98!19sChIJy08xbnMmnkcRR4FmoogcFoI?authuser=0&hl=de&rclk=1,2026-05-13T20:23:10Z,active,success,
0x4109661bc1208109:0x69f262747d997e42,Wintergarten Landshut,84028,,4.4,336,Bar / Kneipe,48.5322969,12.1489323,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Wintergarten+Landshut/data=!4m7!3m6!1s0x4109661bc1208109:0x69f262747d997e42!8m2!3d48.5322969!4d12.1489323!16s%2Fg%2F11h0wjy6k!19sChIJCYEgwRtmCUERQn6ZfXRi8mk?authuser=0&hl=de&rclk=1,2026-05-13T20:07:50Z,active,success,
0x479e267238123683:0x8c26a07dcffb25fd,Wirtshaus zum Hofreiter,84028,,4.4,1026,Restaurant,48.5353431,12.1545982,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Wirtshaus+zum+Hofreiter/data=!4m7!3m6!1s0x479e267238123683:0x8c26a07dcffb25fd!8m2!3d48.5353431!4d12.1545982!16s%2Fg%2F1tkksvts!19sChIJgzYSOHImnkcR_SX7z32gJow?authuser=0&hl=de&rclk=1,2026-05-13T20:07:05Z,active,success,
0x479e2500a7785225:0xca35ce46f483f996,Wirtshaus zum Krodinger,84028,,4.7,132,Restaurant,48.5304118,12.0870131,49,"Kornburg, Worzeldorf",false,,,,,,,https://www.google.com/maps/place/Wirtshaus+zum+Krodinger/data=!4m7!3m6!1s0x479e2500a7785225:0xca35ce46f483f996!8m2!3d48.5304118!4d12.0870131!16s%2Fg%2F1tv233zv!19sChIJJVJ4pwAlnkcRlvmD9EbONco?authuser=0&hl=de&rclk=1,2026-05-13T20:22:51Z,active,success,
0x479e27eabcc71931:0x71b95082bce879b3,Wokwerk,84028,,4.9,41,Asiatisch,48.5375351,12.1526155,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Wokwerk/data=!4m7!3m6!1s0x479e27eabcc71931:0x71b95082bce879b3!8m2!3d48.5375351!4d12.1526155!16s%2Fg%2F11ytq8vtpx!19sChIJMRnHvOonnkcRs3novIJQuXE?authuser=0&hl=de&rclk=1,2026-05-13T20:01:55Z,active,success,
